ID,Hash,Subject,Message,Num_files,LOC,changed files | + | -| sum,Labels,
70659,ede39aeb331bf6efb3739d22a60c1844e9c2c3d6,feat: reinterpret `precision` field for strings,"This commit changes the behavior of formatting string arguments  with both width and precision fields set.    Documentation says that the `width` field is the ""minimum width""  that the format should take up. If the value's string does not  fill up this many characters  then the padding specified by  fill/alignment will be used to take up the required space.    This is true for all formatted types except string  which is truncated  down to `precision` number of chars and then all of `fill`  `align` and  `width` fields are completely ignored.    For example: `format!(""{:/^10.8}""  ""1234567890);` emits ""12345678"".  In the contrast Python version works as the expected:  ```python  >>> '{:/^10.8}'.format('1234567890')  '/12345678/'  ```    This commit gives back the `Python` behavior by changing the `precision`  field meaning to the truncation and nothing more. The result string *will*  be prepended/appended up to the `width` field with the proper `fill` char.    However  this is the breaking change.    Also updated `std::fmt` docs about string precision.    Signed-off-by: Evgeny Safronov <division494@gmail.com>   ",3,27,   src/libcore/fmt/mod.rs--11--7--18   src/libcollections/fmt.rs--4--2--6   src/test/run-pass/ifmt.rs--2--1--3,Adaptive,
105917,3d202d7eaebd97e2b98a6c6021dd2bb763356d80,rt: rename nano_time() builtin to match time::precise_time_ns(), ,3,8,   src/libstd/time.rs--2--2--4   src/rt/rust_builtin.cpp--1--1--2   src/rt/rustrt.def.in--1--1--2,Perfective,
37906,11b1d483b2f0e65e049c491c34a0f8573553f4b4,Add a run-make test for command aliases, ,2,23,   src/test/run-make/override-aliased-flags/Makefile--22--0--22   src/test/run-make/override-aliased-flags/main.rs--1--0--1,Adaptive,
80086,4c5029a600bc3c350f2371b736698676600a510b,Fix order of rustdoc arguments.,rust-example-rendered should be a class  not an id.    fixes #26013   ,1,4,   src/librustdoc/html/markdown.rs--2--2--4,Corrective,
3937,23d398b1848571709a0cbb8a08436f6de56d43a8,tree-wide: Fix all the rustdoc warnings, ,5,18,   clippy_utils/src/diagnostics.rs--3--3--6   clippy_utils/src/higher.rs--3--3--6   clippy_lints/src/needless_continue.rs--1--1--2   clippy_lints/src/needless_for_each.rs--1--1--2   clippy_utils/src/ty.rs--1--1--2,Corrective,
81511,700e627cf727873a472b1876238aac10b932258b,test: Fixup many library unit tests, ,26,79,   src/libstd/rand/mod.rs--0--21--21   src/librand/rand_impls.rs--0--5--5   src/libstd/process.rs--0--4--4   src/test/run-make/save-analysis/foo.rs--2--2--4   src/libcoretest/fmt/num.rs--1--2--3   src/libstd/num/strconv.rs--1--2--3   src/libcollections/linked_list.rs--1--1--2   src/libcollectionstest/bench.rs--1--1--2   src/libcollectionstest/bit/vec.rs--1--1--2   src/libcollectionstest/btree/map.rs--1--1--2   src/libcollectionstest/slice.rs--1--1--2   src/libflate/lib.rs--1--1--2   src/librand/lib.rs--1--1--2   src/librustc_back/fs.rs--1--1--2   src/libserialize/json.rs--1--1--2   src/libserialize/lib.rs--1--1--2   src/libstd/collections/hash/map.rs--1--1--2   src/libstd/fs.rs--1--1--2   src/libstd/lib.rs--1--1--2   src/libstd/rand/reader.rs--1--1--2   src/libstd/thread/mod.rs--1--1--2   src/libtest/stats.rs--1--1--2   src/test/run-make/save-analysis/SubDir/mod.rs--1--1--2   src/test/run-make/unicode-input/multiple_files.rs--1--1--2   src/test/run-make/unicode-input/span_length.rs--1--1--2   .../compile-fail/derive-no-std-not-supported.rs--0--1--1,Corrective,
85674,3eda3cde187d791d0647a7ffbf2c23ee75e6bdde,Change default installation directory to %SYSTEMDRIVE%\Rust. Modify user PATH  rather than system PATH., ,1,4,   src/etc/pkg/rust.iss--2--2--4,Perfective,
108404,00daeb485c9a6d2d3cdaaacd4ac610e2f8bff14e,Move type_is_immediate into ty.rs, ,1,22,   src/comp/middle/trans.rs--6--16--22,Perfective,
27527,ae213db0f5d9a513cae9624b1a341f516bb8e1e9,{syntax -> rustc_ast_passes}::show_span, ,4,10,   src/{libsyntax=>librustc_ast_passes}/show_span.rs--3--3--6   src/librustc_interface/passes.rs--1--1--2   src/librustc_ast_passes/lib.rs--1--0--1   src/libsyntax/lib.rs--0--1--1,Perfective,
33722,96fc98904f9e4b16e427f3e8988b7335cd60cf77,test: add test for #61432., ,2,25,   src/test/ui/const-generics/issue-61432.rs--17--0--17   src/test/ui/const-generics/issue-61432.stderr--8--0--8,Perfective,
